"attempt_id","attempt_order","transition_label","DGP","replication","chain","sentinel","profile","ok","fit_elapsed_seconds","peak_RSS_KiB","reproducibility_eligible","runtime_tree_digest"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",20,1,TRUE,"A",TRUE,2507.201,611744,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",20,2,TRUE,"B",TRUE,2564.743,620060,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",20,3,TRUE,"C",TRUE,2704.671,616936,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",20,4,TRUE,"D",TRUE,2536.506,616928,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",117,1,FALSE,"standard",TRUE,2720.29,611060,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",28,1,TRUE,"A",TRUE,2587.721,606376,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",28,2,TRUE,"B",TRUE,2544.316,618584,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",28,3,TRUE,"C",TRUE,2541.323,619144,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",28,4,TRUE,"D",TRUE,2315.054,616928,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",39,1,FALSE,"standard",TRUE,2612.074,612400,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",121,1,TRUE,"A",TRUE,2513.591,610724,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",121,2,TRUE,"B",TRUE,2498.32,619700,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",121,3,TRUE,"C",TRUE,2494.552,616928,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",121,4,TRUE,"D",TRUE,2406.325,618216,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
