"DGP","replication","dgp","coverage_level","T","training_response_mean","training_response_sd","training_response_iqr","training_response_min","training_response_max","training_response_range","training_response_max_abs_z","training_response_lag1_acf","response_diff_sd","response_diff_mean_abs","response_diff_max_abs","latent_level_sd","latent_scale_mean","latent_scale_sd","oracle_mean_width","oracle_min_width","oracle_max_width","oracle_training_coverage","oracle_observed_loss","generalized_bayes_target","response_likelihood","response_prediction_contract"
"S03",55,"local_level_gaussian",0.8,200,2.33295425484466,1.164772839876,1.42779616927345,-1.80259174095577,5.15944302193042,6.96203476288618,3.55051719461514,0.267503539349729,1.40856926177282,1.13092461593564,4.07988923760015,0.558914957313364,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.815,85.3613563031124,TRUE,FALSE,FALSE
"S04",91,"local_level_gaussian",0.9,200,-1.84547237682315,1.2571468615038,1.52763479332197,-5.95674307076298,1.20385424067669,7.16059731143966,3.27031854418497,0.237738897061499,1.55177564173002,1.22263739438129,4.25187849497532,0.70149259146094,1,0,3.28970725390294,3.28970725390294,3.28970725390294,0.87,76.1445804605361,TRUE,FALSE,FALSE
"S03",165,"local_level_gaussian",0.8,200,1.77448436299393,1.235810337962,1.61014664804795,-1.54885410755241,4.79805670562292,6.34691081317533,2.68919782304698,0.239490608510466,1.52675780315076,1.18083884741893,4.72263511223021,0.70641254884412,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.775,108.88324790502,TRUE,FALSE,FALSE
"S03",89,"local_level_gaussian",0.8,200,-0.883939580776191,1.16503411682726,1.60401267512317,-3.78893529517903,1.84913162933155,5.63806692451058,2.4934855318349,0.382738709917665,1.28606545502144,1.00225183659271,4.91044733228678,0.618417002306323,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.835,81.2438066809106,TRUE,FALSE,FALSE
"S04",96,"local_level_gaussian",0.9,200,0.848118432040367,1.50955543182747,2.34671303192428,-2.36051575187039,4.63497513452155,6.99549088639194,2.50859069010589,0.602649043979426,1.34048881416943,1.06458162440358,3.97348832534991,1.02946137497493,1,0,3.28970725390294,3.28970725390294,3.28970725390294,0.895,64.3653619037341,TRUE,FALSE,FALSE
"S03",166,"local_level_gaussian",0.8,200,0.776084714899979,1.80286690116179,2.52253197397564,-4.01161613541588,5.69227045611357,9.70388659152944,2.72687115063543,0.678752353256996,1.40566181602505,1.1154798475167,4.29244123110441,1.44778853444569,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.84,92.4852421557357,TRUE,FALSE,FALSE
"S03",90,"local_level_gaussian",0.8,200,1.47457156658226,1.40622262254464,2.07387775629944,-1.66494786438039,5.2751289778212,6.94007684220159,2.70267122026641,0.627256364979932,1.21644997076098,0.957402105539584,3.32006598344315,0.956824066702032,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.79,85.9374251176072,TRUE,FALSE,FALSE
"S04",150,"local_level_gaussian",0.9,200,1.46429543730464,1.30350959561392,1.59921442459912,-1.50105884837591,5.39043563748237,6.89149448585829,3.0119764468083,0.331131916531209,1.50986459700838,1.19364300238483,4.42589344529857,0.835292443626967,1,0,3.28970725390294,3.28970725390294,3.28970725390294,0.885,65.3369434231996,TRUE,FALSE,FALSE
"S03",168,"local_level_gaussian",0.8,200,0.080802784483409,1.27091710875182,1.56053255346349,-3.40889472414636,4.06002142535583,7.46891614950219,3.13098203924602,0.459469603261865,1.31021486297535,1.06136607719026,4.24121280465184,0.803694495565831,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.81,86.8252088505393,TRUE,FALSE,FALSE
"S03",94,"local_level_gaussian",0.8,200,0.776574365373256,1.25687497326725,1.59998140253771,-3.58415303268848,4.74385832335621,8.32801135604469,3.46949974405649,0.176078724134887,1.60269589154732,1.27541722647057,5.34881999610221,0.669126299231166,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.805,117.299812659981,TRUE,FALSE,FALSE
