"provider","family","target","estimand","n_chains","n_draws_per_chain","rhat","ess_bulk","ess_tail","mcse_mean","sd","mcse_over_sd","pass"
"posterior","dlm","ET","width_0720",5,6000,1.00066157442831,2571.01447065821,5884.9725260494,0.00376992048060613,0.191150631460049,0.0197222496824137,TRUE
"posterior","dlm","ET","midpoint_0720",5,6000,1.00027190302394,4569.51381531867,8348.4221239688,0.00139321685931694,0.0940373001407464,0.0148155769809608,TRUE
"posterior","dlm","ET","lower_0780",5,6000,1.00022009351049,3731.07290762958,8019.74884386228,0.00266808329897252,0.163207478782794,0.0163478004737966,TRUE
"posterior","dlm","ET","upper_0780",5,6000,1.00059466010031,3091.75954769726,5486.59112663051,0.00192761211033089,0.105275957623359,0.0183100885885763,TRUE
"posterior","dlm","ET","width_0780",5,6000,1.00043141982205,2853.56930890411,6128.56449668648,0.003606345178349,0.192611712260001,0.0187233950419427,TRUE
"posterior","dlm","ET","midpoint_0780",5,6000,1.00057640704682,4229.65004531679,9101.02768499296,0.00150526539128641,0.0979031984520595,0.0153750379465232,TRUE
"posterior","dlm","ET","lower_0833",5,6000,1.00044741073919,3584.44002219244,8410.49206727674,0.00271434993784864,0.162739377192899,0.0166791220703227,TRUE
"posterior","dlm","ET","upper_0833",5,6000,1.0013697552785,2659.99767336897,4594.33641209548,0.00223637031361624,0.113386895211477,0.0197233578840412,TRUE
"posterior","dlm","ET","width_0833",5,6000,1.00061840666756,2778.50640460384,6214.55667690021,0.00370433113402682,0.195323962162372,0.0189650624174182,TRUE
"posterior","dlm","ET","midpoint_0833",5,6000,1.0006815465638,3825.78581775154,6885.63204369218,0.00162769245526527,0.100660239909875,0.0161701626851139,TRUE
"posterior","dlm","ET","lower_0834",5,6000,1.0004177504257,3584.43814009293,8489.29368086453,0.00271380190325332,0.162700631256105,0.0166797257165005,TRUE
"posterior","dlm","ET","upper_0834",5,6000,1.0013786539445,2648.40392240933,4565.09759988863,0.00224062939792029,0.113508568233198,0.0197397380021305,TRUE
"posterior","dlm","ET","width_0834",5,6000,1.00062481176179,2774.64002684762,6258.37345986245,0.00370842220671686,0.195406388455296,0.0189779988056289,TRUE
"posterior","dlm","ET","midpoint_0834",5,6000,1.00068710899413,3823.82198823847,6756.60136296462,0.00162816761543882,0.100657493881267,0.0161753243862734,TRUE
"posterior","dlm","ET","lower_0840",5,6000,1.0003258864533,3590.76742130445,8579.00173714307,0.00271226339260197,0.162747069084957,0.0166655129819027,TRUE
"posterior","dlm","ET","upper_0840",5,6000,1.00155713900623,2592.78337120985,4401.86072391802,0.00228090548974599,0.11459180912952,0.0199046119183609,TRUE
"posterior","dlm","ET","width_0840",5,6000,1.00072180675708,2747.68484091566,6188.38779583588,0.00373565256366349,0.19588574180321,0.0190705690433375,TRUE
"posterior","dlm","ET","midpoint_0840",5,6000,1.00079806377968,3797.48601755317,6776.42608160378,0.00164056705399126,0.1010749209607,0.0162311979905396,TRUE
"posterior","dlm","ET","lower_0844",5,6000,1.00039555182721,3593.0789342101,8145.58022282056,0.00271129107140644,0.162714089492255,0.0166629151775789,TRUE
"posterior","dlm","ET","upper_0844",5,6000,1.00158208691023,2576.50775255582,4441.2004578477,0.00230673622015626,0.115236394933461,0.0200174278402947,TRUE
