"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","candidate_id","transition_multiplier","method","DGP","replication","case_role","diagnostic_role","elapsed_seconds_group","bulk_effective_draws_per_second","tail_effective_draws_per_second"
"future_h10_lower",4,0.999996239116392,8032.33445423925,12620.8373597957,0.00149900172947999,0.0111735795608638,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,5.99859037072109,9.42530890467979
"future_h10_midpoint",4,1.00000634307312,8128.48156093558,11965.6077572448,0.00126162156856479,0.0111287883629978,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.07039354471578,8.93597992978895
"future_h10_upper",4,0.999960695949085,8802.44980019357,11228.0098527043,0.0019840554607866,0.010776175536973,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.57371663381488,8.38513786602186
"future_h10_width",4,0.999998003441261,8536.12780801666,11862.3121078112,0.00247569239521768,0.0108166343866617,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.37482594432915,8.85883818580906
"future_h20_lower",4,0.999996239116392,8032.33445423925,12620.8373597957,0.00149900172947999,0.0111735795608638,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,5.99859037072109,9.42530890467979
"future_h20_midpoint",4,1.00000634307312,8128.48156093558,11965.6077572448,0.00126162156856479,0.0111287883629978,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.07039354471578,8.93597992978895
"future_h20_upper",4,0.999960695949085,8802.44980019357,11228.0098527043,0.0019840554607866,0.010776175536973,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.57371663381488,8.38513786602186
"future_h20_width",4,0.999998003441261,8536.12780801666,11862.3121078112,0.00247569239521768,0.0108166343866617,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.37482594432915,8.85883818580906
"mean_lower",4,0.999955224638866,7452.44366867287,12286.4672487593,0.000588816331892395,0.0115333687748931,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,5.56552482767308,9.17559951574102
"mean_midpoint",4,0.999972572513967,2105.84590069037,4489.91017881191,0.00203722059977355,0.0218590292433093,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,1.57265699206995,3.35308895781962
"mean_upper",4,0.999984133520691,2036.88638469909,4278.12696351996,0.00399645282834224,0.0222018594020858,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,1.52115765635983,3.19492811887944
