"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","candidate_id","transition_multiplier","method","DGP","replication","case_role","diagnostic_role"
"mean_upper",1,,158.231455603106,1839.86940114931,0.00806239711873919,0.078369077010645,FALSE,"whole_scan_x2",2,"M11","S05",190,"guard","one_chain_standard"
"mean_width",1,,143.807699361805,1607.79156263522,0.00901347277843483,0.0834723607527376,FALSE,"whole_scan_x2",2,"M11","S05",190,"guard","one_chain_standard"
"log_q_1",4,1.0078799517536,194.487985224243,306.261754694723,0.0162432582050781,0.071359399296758,FALSE,"whole_scan_x2",2,"M11","S05",74,"hard","four_chain_sentinel"
"mean_midpoint",4,1.00624379003406,283.17920998682,964.228181941059,0.00321299750061119,0.0585048587117309,FALSE,"whole_scan_x2",2,"M11","S05",74,"hard","four_chain_sentinel"
"mean_upper",4,1.00816805619706,193.754790266929,366.148743954164,0.00728357066742596,0.0699700580072309,FALSE,"whole_scan_x2",2,"M11","S05",74,"hard","four_chain_sentinel"
"mean_width",4,1.00839377624875,182.547022175697,326.820319057135,0.00797344094116864,0.0728625814671877,FALSE,"whole_scan_x2",2,"M11","S05",74,"hard","four_chain_sentinel"
"log_q_1",4,1.01766184684746,77.5680352947102,329.742222475728,0.0260300193787358,0.11415423753324,FALSE,"whole_scan_x4",4,"M11","S05",74,"hard","four_chain_sentinel"
"mean_midpoint",4,1.01426975611375,139.458861969821,786.041470729348,0.00459776745284622,0.0833937125675206,FALSE,"whole_scan_x4",4,"M11","S05",74,"hard","four_chain_sentinel"
"mean_upper",4,1.01805484870927,99.1075475347076,445.469246056529,0.0100611348208635,0.0960688106757918,FALSE,"whole_scan_x4",4,"M11","S05",74,"hard","four_chain_sentinel"
"mean_width",4,1.01808111321823,109.866261101534,368.205948722083,0.0101908937407447,0.09244374259335,FALSE,"whole_scan_x4",4,"M11","S05",74,"hard","four_chain_sentinel"
"log_q_1",4,1.00100314685846,180.532859774344,403.174350981387,0.0169824321311413,0.0740460905398038,FALSE,"whole_scan_x8",8,"M11","S05",74,"hard","four_chain_sentinel"
"mean_midpoint",4,1.00064964194496,224.769229542298,656.758763976643,0.00366675613435925,0.0657947488105727,FALSE,"whole_scan_x8",8,"M11","S05",74,"hard","four_chain_sentinel"
"mean_upper",4,1.00096657055592,168.69598617117,379.430828920141,0.00799242713755557,0.0755067124779365,FALSE,"whole_scan_x8",8,"M11","S05",74,"hard","four_chain_sentinel"
"mean_width",4,1.00108156410013,167.134393744874,385.057242354846,0.00852993727135906,0.076532556203461,FALSE,"whole_scan_x8",8,"M11","S05",74,"hard","four_chain_sentinel"
"log_q_1",1,,180.216343301815,1604.79561890455,0.0139692772366787,0.0731680569437352,FALSE,"whole_scan_x8",8,"M11","S05",172,"hard","one_chain_standard"
"mean_upper",1,,133.304182683385,1428.88747012799,0.00894034888944894,0.0828937586745637,FALSE,"whole_scan_x8",8,"M11","S05",172,"hard","one_chain_standard"
"mean_width",1,,128.233257170212,1255.38810649376,0.00930210407874161,0.0842412475142477,FALSE,"whole_scan_x8",8,"M11","S05",172,"hard","one_chain_standard"
