"fixture_id","learning_rate_mode","estimand","rhat","ess_bulk","ess_tail","mcse_mean","pass"
"frozen_trend_seasonal_discount","fixed_rate","terminal_state_midpoint_5",0.999981325907074,14947.7280487416,19515.6032599343,0.00291163333071634,TRUE
"frozen_trend_seasonal_discount","fixed_rate","terminal_state_abs_separation_1",0.999959587233954,14462.3074403268,16566.3550865948,0.00803913725268028,TRUE
"frozen_trend_seasonal_discount","fixed_rate","terminal_state_abs_separation_2",0.999987024775512,16058.9802766613,15926.4241609712,0.00035802352437188,TRUE
"frozen_trend_seasonal_discount","fixed_rate","terminal_state_abs_separation_3",1.00056408865826,16557.4182876569,18684.8831912806,0.0062078756644157,TRUE
"frozen_trend_seasonal_discount","fixed_rate","terminal_state_abs_separation_4",1.00003290991251,16294.0169719398,17962.4459520057,0.00631882637172224,TRUE
"frozen_trend_seasonal_discount","fixed_rate","terminal_state_abs_separation_5",0.999966108964647,16641.079479869,17449.8886182807,0.00453851465858993,TRUE
"frozen_trend_seasonal_discount","fixed_rate","time0_state_midpoint_1",0.999984722554535,21938.1117870465,23036.281868075,0.00451067485072324,TRUE
"frozen_trend_seasonal_discount","fixed_rate","time0_state_midpoint_2",0.999967899606183,23790.5545844062,23056.878698077,0.00167759559300635,TRUE
"frozen_trend_seasonal_discount","fixed_rate","time0_state_midpoint_3",1.00003782291653,21611.29117082,23331.8599478133,0.0040900958485241,TRUE
"frozen_trend_seasonal_discount","fixed_rate","time0_state_midpoint_4",1.00000909340324,21344.7796744133,23775.8146737631,0.00385589284962092,TRUE
"frozen_trend_seasonal_discount","fixed_rate","time0_state_midpoint_5",1.0000306783736,22661.1192549059,23428.0090516496,0.00334252116496826,TRUE
"frozen_trend_seasonal_discount","fixed_rate","time0_state_abs_separation_1",0.999976090173324,20904.774608137,20948.7832360232,0.00686924054191404,TRUE
"frozen_trend_seasonal_discount","fixed_rate","time0_state_abs_separation_2",1.00017136374093,23824.986942433,22542.0293296805,0.00200949628420858,TRUE
"frozen_trend_seasonal_discount","fixed_rate","time0_state_abs_separation_3",1.00021327681299,22462.6842929694,21090.0592780978,0.00560332683375647,TRUE
"frozen_trend_seasonal_discount","fixed_rate","time0_state_abs_separation_4",1.00011494868324,21571.4648953971,20205.5019157196,0.00556672206509289,TRUE
"frozen_trend_seasonal_discount","fixed_rate","time0_state_abs_separation_5",0.999962112989031,21613.9407910388,21392.5450259361,0.00472772866502597,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_lower_t001",0.999961924849244,16343.1974264368,16811.2099174099,0.00934306614005557,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_lower_t002",0.999961204366117,16143.3892921494,16815.4752934645,0.00895017322270825,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_lower_t003",0.999991778597788,16185.038023817,16259.2882496452,0.00888943787131473,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_lower_t004",1.00002563491136,15502.3699598391,16062.9974536905,0.00922899611938316,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_upper_t001",0.999975723014751,17796.1203649076,18247.65306724,0.00813537811124904,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_upper_t002",1.0000467329924,16391.1280775851,16568.0858298363,0.00879380873781976,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_upper_t003",1.00003017697244,15796.7970526794,15332.8951864554,0.00969585679489045,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_upper_t004",0.99998418269792,16982.5835219456,16606.8506934846,0.00868081900115253,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_midpoint_t001",0.999974991161489,16692.358175502,18369.3674769751,0.00669245417276385,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_midpoint_t002",1.00001856895957,15019.9378041148,17730.5210242883,0.00699239005198074,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_midpoint_t003",1.00007168298517,14350.8601548714,17131.7770266017,0.00730719147685109,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_midpoint_t004",0.999987106277075,15082.6323805372,17528.5781014192,0.00699157595789381,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_width_t001",0.999962981163974,15271.1683541025,17214.2611919344,0.0112823008109734,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_width_t002",1.00014208708878,15695.1283628822,17011.5002689607,0.0109981229826988,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_width_t003",1.00015531745696,14776.7330419204,16547.2708351136,0.0115030164404724,TRUE
"frozen_trend_seasonal_discount","fixed_rate","future_conditional_mean_width_t004",1.00002636567627,15425.4880940529,17488.3929193838,0.0111540826352717,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t001",1.00000952559279,19354.9187233731,19164.4043055206,0.00485604061422507,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t002",1.00017605217446,19416.2783557747,18691.3894404773,0.00420861913805874,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t003",1.00003366953125,19346.9150009775,18443.9110444604,0.00391272218366896,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t004",0.999980603718509,19214.6067568362,19864.1359664849,0.00402172185009526,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t005",0.999977007696018,18912.3144760009,18211.4871851538,0.003675712522883,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t006",1.00004286945726,19667.5242024733,18871.9108690185,0.00330316042747096,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t007",0.999969304930664,18767.2867203627,16839.9830903629,0.00331129393044138,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t008",0.99997122572818,17083.544529211,17830.6108685082,0.00346418691801748,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t009",0.999997182722338,17778.2542653417,17154.5902227646,0.00324604690529975,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t010",1.00000624446975,19022.9609205084,17533.4412288363,0.00301655872558422,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t011",0.999985629888016,18537.132214498,17372.3733409718,0.00302188627871216,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t012",1.00014308815496,17456.1392666906,17179.1651335374,0.00308061306041271,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t013",1.00008116662927,18224.5076876922,17241.8092448314,0.00303462965232676,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t014",0.999967556746456,18676.1328950821,16968.5052843121,0.00290709267459995,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t015",1.0001681580297,18480.2684948394,17652.0812773995,0.00286964162374693,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t016",1.00005341960572,19293.5174082237,18445.8598995709,0.00278498516977263,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t017",1.00000661074636,17130.8835072336,15951.1486457734,0.00301197789084149,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t018",1.00003688470598,17801.0707291947,17084.5653630759,0.00286739493857414,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t019",0.999973883908881,17396.1897072765,16117.0710439903,0.00288074739981212,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t020",0.99995838932649,17972.1512467553,17933.7924624625,0.00279034748169362,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t021",1.00000086944532,16599.137718507,16298.222443086,0.00307286173786,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t022",1.00008788902678,18135.3121690834,15779.2196858461,0.00287854597603176,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t023",1.00002209878779,17635.611970623,16057.1879901967,0.00287220382086241,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t024",1.00006116993806,17616.1491401595,16587.215564504,0.0029279223487032,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t025",1.00007324017799,16966.0612163016,15042.2718076016,0.00316500563150142,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t026",1.00011863734336,15904.2519163306,14419.5824002972,0.00325635252996063,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t027",1.00000829872562,17431.9297261875,15434.8520880675,0.00309947002167959,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t028",0.999959384648737,17284.6238453871,16291.7859840971,0.00310284226415682,TRUE
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized","train_lower_t029",0.999992207232588,16475.1406246256,14891.9759027101,0.00352540741363408,TRUE
