"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","sentinel"
"training_t0100_midpoint",4,1.0002185137768,2554.18410502066,6007.51362525193,0.00193893698846354,0.0197462144687101,TRUE,"S04",91,TRUE
"training_t0100_width",4,1.00030637459347,2493.43965716465,5448.87215501661,0.00392476956289352,0.0200431817072323,TRUE,"S04",91,TRUE
"training_t0150_lower",4,0.999958824047297,1622.97474624958,2734.298606052,0.00436584218617503,0.024814775135734,TRUE,"S04",91,TRUE
"training_t0150_upper",4,1.00221141929718,2152.99657383308,4577.09172670663,0.00261961928516892,0.0215818471855291,TRUE,"S04",91,TRUE
"training_t0150_midpoint",4,1.00050847484073,1808.2080514225,3456.66927285953,0.00251977560922633,0.0235462532776623,TRUE,"S04",91,TRUE
"training_t0150_width",4,1.00085062596932,1718.65534185478,3655.78302884658,0.00514306402957846,0.0240934640260801,TRUE,"S04",91,TRUE
"training_t0200_lower",4,1.00009783156179,1352.33630752064,1966.89856582283,0.00733931317421422,0.0279400195675373,TRUE,"S04",91,TRUE
"training_t0200_upper",4,1.00111912800647,3562.24172423171,7021.06545337699,0.00374450487751833,0.0167523269904525,TRUE,"S04",91,TRUE
"training_t0200_midpoint",4,1.00009106786741,1775.60564078835,2997.31359113651,0.00409992335462816,0.0239327886630567,TRUE,"S04",91,TRUE
"training_t0200_width",4,1.00098379888041,1785.03862781202,3068.35026441298,0.00830308215784465,0.0239153793261075,TRUE,"S04",91,TRUE
"terminal_lower",4,1.00009783156179,1352.33630752064,1966.89856582283,0.00733931317421422,0.0279400195675373,TRUE,"S04",91,TRUE
"terminal_upper",4,1.00111912800647,3562.24172423171,7021.06545337699,0.00374450487751833,0.0167523269904525,TRUE,"S04",91,TRUE
"terminal_midpoint",4,1.00009106786741,1775.60564078835,2997.31359113651,0.00409992335462816,0.0239327886630567,TRUE,"S04",91,TRUE
"terminal_width",4,1.00098379888041,1785.03862781202,3068.35026441298,0.00830308215784465,0.0239153793261075,TRUE,"S04",91,TRUE
"future_h01_lower",4,1.00009783156179,1352.33630752064,1966.89856582283,0.00733931317421422,0.0279400195675373,TRUE,"S04",91,TRUE
"future_h01_upper",4,1.00111912800647,3562.24172423171,7021.06545337699,0.00374450487751833,0.0167523269904525,TRUE,"S04",91,TRUE
