"initial_level_variance","initial_slope_variance","q_level","q_slope","initial_level_half_width","terminal_level_variance","terminal_level_half_width","terminal_root_difference_sd","terminal_slope_half_width","pass","selected"
2,0.1,0.01,0.09,2.77180764869936,2.14,2.86718012623648,2.06881608655772,0.854328494158941,FALSE,FALSE
0.5,0.25,0.01,0.09,1.38590382434968,0.79,1.74205409455285,1.25698050899765,1.14284557094824,FALSE,FALSE
1,0.25,0.01,0.09,1.95996398454005,1.29,2.22609116585449,1.6062378404209,1.14284557094824,TRUE,FALSE
2,0.25,0.01,0.09,2.77180764869936,2.29,2.96596370500206,2.14009345590327,1.14284557094824,FALSE,FALSE
0.5,0.5,0.01,0.09,1.38590382434968,1.04,1.99877892062176,1.4422205101856,1.50547690258254,FALSE,FALSE
1,0.5,0.01,0.09,1.95996398454005,1.54,2.43225134060379,1.75499287747842,1.50547690258254,FALSE,FALSE
2,0.5,0.01,0.09,2.77180764869936,2.54,3.12366858110189,2.25388553391693,1.50547690258254,FALSE,FALSE
0.5,0.1,0.02,0.09,1.38590382434968,0.65,1.58017348207441,1.14017542509914,0.854328494158941,FALSE,FALSE
1,0.1,0.02,0.09,1.95996398454005,1.15,2.10182721549566,1.51657508881031,0.854328494158941,TRUE,FALSE
2,0.1,0.02,0.09,2.77180764869936,2.15,2.87387133749797,2.07364413533277,0.854328494158941,FALSE,FALSE
0.5,0.25,0.02,0.09,1.38590382434968,0.8,1.75304508115316,1.26491106406735,1.14284557094824,FALSE,FALSE
1,0.25,0.02,0.09,1.95996398454005,1.3,2.23470276925196,1.61245154965971,1.14284557094824,TRUE,FALSE
2,0.25,0.02,0.09,2.77180764869936,2.3,2.97243255391884,2.14476105895272,1.14284557094824,FALSE,FALSE
0.5,0.5,0.02,0.09,1.38590382434968,1.05,2.00836544526359,1.44913767461894,1.50547690258254,FALSE,FALSE
1,0.5,0.02,0.09,1.95996398454005,1.55,2.44013548231976,1.7606816861659,1.50547690258254,FALSE,FALSE
2,0.5,0.02,0.09,2.77180764869936,2.55,3.1298114947661,2.25831795812724,1.50547690258254,FALSE,FALSE
0.5,0.1,0.04,0.09,1.38590382434968,0.67,1.60429966336251,1.15758369027902,0.854328494158941,FALSE,FALSE
1,0.1,0.04,0.09,1.95996398454005,1.17,2.12002519329656,1.52970585407784,0.854328494158941,TRUE,FALSE
2,0.1,0.04,0.09,2.77180764869936,2.17,2.88720723899519,2.08326666559997,0.854328494158941,FALSE,FALSE
0.5,0.25,0.04,0.09,1.38590382434968,0.82,1.77482287368886,1.28062484748657,1.14284557094824,FALSE,FALSE
1,0.25,0.04,0.09,1.95996398454005,1.32,2.25182717882973,1.62480768092719,1.14284557094824,TRUE,TRUE
2,0.25,0.04,0.09,2.77180764869936,2.32,2.9853282003844,2.1540659228538,1.14284557094824,FALSE,FALSE
0.5,0.5,0.04,0.09,1.38590382434968,1.07,2.02740251014511,1.46287388383278,1.50547690258254,FALSE,FALSE
1,0.5,0.04,0.09,1.95996398454005,1.57,2.4558278336418,1.77200451466693,1.50547690258254,FALSE,FALSE
2,0.5,0.04,0.09,2.77180764869936,2.57,3.14206129303422,2.26715680975093,1.50547690258254,FALSE,FALSE
