"family","target","endpoint","index","observed","mean_error","median_error","q025_error","q975_error","rmse"
"fixed_design","RQR","upper",11,TRUE,0.0334040933609441,0.0227694240046319,-0.0810571392083279,0.208607033525283,0.0797652678882344
"fixed_design","RQR","upper",12,TRUE,0.0332211181676233,0.0226034513201909,-0.0803506297468211,0.207395380538192,0.0792148439830047
"fixed_design","RQR","upper",13,TRUE,0.0330387145308763,0.022534759770712,-0.0797196464258201,0.205953809745045,0.0786675732300143
"fixed_design","RQR","upper",14,TRUE,0.0328568824507025,0.0223578941825989,-0.0789302463472379,0.204858664997512,0.0781234661453545
"fixed_design","RQR","upper",15,TRUE,0.0326756219271024,0.0222564363361694,-0.0782420799222547,0.20330695139726,0.0775825333621383
"fixed_design","RQR","upper",16,TRUE,0.0324949329600756,0.0221364584747388,-0.0777087656223269,0.201955580783898,0.0770447856302578
"fixed_design","RQR","upper",17,TRUE,0.0323148155496222,0.0219366991733983,-0.0770122817675919,0.20059755202136,0.0765102338160452
"fixed_design","RQR","upper",18,TRUE,0.0321352696957426,0.0218151364325421,-0.0763440455632491,0.199022878728108,0.0759788889018305
"fixed_design","RQR","upper",19,TRUE,0.0319562953984363,0.021716383499111,-0.0755396507909493,0.197381395745096,0.07545076198539
"fixed_design","RQR","upper",20,TRUE,0.0317778926577034,0.0215479733643086,-0.0747098350487375,0.19613188546001,0.0749258642792822
"fixed_design","RQR","upper",21,TRUE,0.0316000614735441,0.021390015752163,-0.0738379127782721,0.194520830361869,0.0744042071100635
"fixed_design","RQR","upper",22,TRUE,0.0314228018459585,0.0212814285262381,-0.0731455054293291,0.193166067454439,0.0738858019173779
"fixed_design","RQR","upper",23,TRUE,0.0312461137749462,0.0212196255739347,-0.0725572072822309,0.191739998350748,0.0733706602529158
"fixed_design","RQR","upper",24,TRUE,0.0310699972605073,0.0210449281175398,-0.071903473915187,0.19018719718353,0.0728587937792352
"fixed_design","RQR","upper",25,TRUE,0.0308944523026418,0.0209566531515562,-0.0713448075319394,0.188782086291742,0.0723502142684386
"fixed_design","RQR","upper",26,TRUE,0.03071947890135,0.0208106913647709,-0.0707104308194206,0.187561235520976,0.0718449336006987
