"provider","family","target","estimand","n_chains","n_draws_per_chain","rhat","ess_bulk","ess_tail","mcse_mean","sd","mcse_over_sd","pass"
"posterior","fixed_design","SH","upper_index_001",4,6000,1.00680326465926,881.311797539856,1010.5020575055,0.0160979086384166,0.435637509506819,0.0369525311460001,TRUE
"posterior","fixed_design","SH","width_index_001",4,6000,1.00434523281986,1087.6248855862,1311.05553730856,0.0178766976223828,0.564795387266112,0.0316516353097621,TRUE
"posterior","fixed_design","SH","lower_index_270",4,6000,1.00045652088546,2914.44844986002,5639.81874275234,0.00313472655632052,0.169045941235638,0.0185436369155468,TRUE
"posterior","fixed_design","SH","upper_index_270",4,6000,1.01665891349886,423.416158761099,677.420604449558,0.0130035602748802,0.249818707642763,0.0520519876096512,TRUE
"posterior","fixed_design","SH","width_index_270",4,6000,1.01039148445537,624.6206469078,656.923022011652,0.0128376637529793,0.298767411195714,0.0429687551985705,TRUE
"posterior","fixed_design","SH","lower_index_540",4,6000,1.00224667433792,3096.60668406245,5289.18921612422,0.00716921523749133,0.398647652283103,0.0179838391031087,TRUE
"posterior","fixed_design","SH","upper_index_540",4,6000,1.00180379565513,1670.82656191327,1814.48527870879,0.00576423876160717,0.216842687333001,0.0265825831274409,TRUE
"posterior","fixed_design","SH","width_index_540",4,6000,1.00155081248353,2240.847200221,4348.79185188225,0.0094285387406302,0.446196275627923,0.0211309220978181,TRUE
"posterior","dlm","RQR","mean_lower_observed",5,6000,1.00097317075353,2435.4245761791,5657.55817114222,0.00951005895332839,0.472117655569931,0.0201434088328005,TRUE
"posterior","dlm","RQR","mean_upper_observed",5,6000,1.00069650267215,3494.48831286074,5187.87520716692,0.00270805256969005,0.156131688065731,0.0173446697671645,TRUE
"posterior","dlm","RQR","mean_width_observed",5,6000,1.00121691869149,2192.37499406943,5079.86446631245,0.0101523378189686,0.47808056795734,0.0212356211471756,TRUE
"posterior","dlm","RQR","mean_midpoint_observed",5,6000,1.00085456987272,2878.80110090175,5998.12905306761,0.00480792018712221,0.257867863439685,0.0186448986817885,TRUE
"posterior","dlm","RQR","observed_mean_tilted_loss",5,6000,1.00064101158607,5908.54298549632,9787.03840813816,0.0274534601642082,2.06935442929461,0.0132666786199435,TRUE
"posterior","dlm","RQR","lower_time_001",5,6000,1.00055338421837,7674.49640346603,10716.0660703237,0.00633070804668874,0.554410238948133,0.0114188151696112,TRUE
"posterior","dlm","RQR","upper_time_001",5,6000,1.00080786032941,6200.26538475167,6854.33932640327,0.00534278163570594,0.395322237283472,0.0135150040443458,TRUE
"posterior","dlm","RQR","width_time_001",5,6000,1.00122240088317,5539.85093126272,9134.73195994181,0.00927133011220826,0.688629250240364,0.0134634567279449,TRUE
"posterior","dlm","RQR","lower_time_051",5,6000,1.00039105763782,2887.10384350169,5840.29797337437,0.0115642424441416,0.625005984092254,0.0185026107564989,TRUE
"posterior","dlm","RQR","upper_time_051",5,6000,1.00092914543987,4943.28928570325,7897.03704714528,0.00323258838626766,0.222148892182347,0.0145514495008791,TRUE
"posterior","dlm","RQR","width_time_051",5,6000,1.00039569013707,2735.13388892835,6101.44973496464,0.0122271634880367,0.641208100889744,0.0190689473059841,TRUE
"posterior","dlm","RQR","lower_time_100",5,6000,1.00072836227458,4142.49433193523,5688.1554288902,0.0147226296222309,0.885431396233965,0.016627634489641,TRUE
"posterior","dlm","RQR","upper_time_100",5,6000,1.00085760928443,3747.93061100503,5907.22206445173,0.00852228235843269,0.495327077101494,0.0172053633899898,TRUE
"posterior","dlm","RQR","width_time_100",5,6000,1.00082500767928,3465.45901444844,5860.39937694317,0.0170897325242526,0.978195578191082,0.0174706703907368,TRUE
"posterior","dlm","RQR","lower_time_034",5,6000,1.00055646862848,3364.86900844244,5755.23100598284,0.00833354060318735,0.485576891956084,0.0171621441243152,TRUE
"posterior","dlm","RQR","upper_time_034",5,6000,1.00091411353129,4243.90074150636,7160.96504603394,0.00457906507375524,0.294828869862881,0.0155312642072158,TRUE
"posterior","dlm","RQR","width_time_034",5,6000,1.00101001720657,2916.43669875964,6039.72545683468,0.0101729597125865,0.549088842471469,0.0185269831140579,TRUE
"posterior","dlm","RQR","lower_time_071",5,6000,1.00096251966552,2676.93229909471,5863.60038420402,0.0139218274445302,0.721916551803963,0.0192845383718403,TRUE
"posterior","dlm","RQR","upper_time_071",5,6000,1.00043531508559,6227.51996848865,7058.50242049016,0.00250670410083603,0.184734118415532,0.0135692535972027,TRUE
"posterior","dlm","RQR","width_time_071",5,6000,1.0007461457479,2677.57124783538,6239.20866747351,0.0140575972847524,0.725907748078804,0.0193655424149382,TRUE
"posterior","dlm","ET","mean_lower_observed",5,6000,1.00093015309255,3200.03097088861,6761.17746110611,0.00630692726702137,0.354725630732549,0.0177797337451958,TRUE
"posterior","dlm","ET","mean_upper_observed",5,6000,1.00066058588674,2706.12898787504,4498.18256829517,0.00452334066156843,0.22873421571343,0.0197755313845809,TRUE
